video id,comment,sentiment score,sentiment type
8eqWXQzs3HM,"-Here is a link containing the source material for each piece of research cited. I do my best to make my videos as accurate as I can, and the additional resources should help anyone who wants to look into them further - enjoy! https://docs.google.com/spreadsheets/d/1lLJkteJXiIrMCW5W_TQOxqHQfygDfazThcKTxsX3oeg/edit?usp=sharing
-Go to our sponsor: https://surfshark.com/graham and use code GRAHAM to get an 4 extra months for free!",0.3714285714,Positive
8eqWXQzs3HM,Appreciate the words on Xonekum if enough know we will all have a green run with it,-0.1,Negative
8eqWXQzs3HM,I hope Trump saves this world and he always appreciated those who made Xonekum,0.2,Positive
8eqWXQzs3HM,"I put it in 50% BTC, 20% ETH, 10% XRP, but 20% Xonekum 🔥",0,Neutral
8eqWXQzs3HM,"why would business invest if at the next admin, the tariff will just get rescinded. any tariff is uncertain without the backing of legislation.",0,Neutral
8eqWXQzs3HM,"I keep 80% BTC, 10% ETH, but added Xonekum to that. They got the right mindset, the experience speaks for itself.",0.2857142857,Positive
8eqWXQzs3HM,"More gains on Xonekum, am I actually making it? too easy to be honest",0.3833333333,Positive
8eqWXQzs3HM,Charts are useless at this time! Believe in Xonekum only real good one,0.125,Positive
8eqWXQzs3HM,I sold at the peak baybeeeeeeeeeee,0,Neutral
8eqWXQzs3HM,"I am comitted with Xonekum and a bit of ADA, too much potential",0,Neutral
8eqWXQzs3HM,Tell me more about Xonekum haha,0.35,Positive
8eqWXQzs3HM,"Appreciate you since 2015, but Xonekum is the most powerful idea ever",0.4,Positive
8eqWXQzs3HM,"Trump is the best president! Tariffs are amazing! I cant afford anything, but that was probably just Biden! I love coping!",0.8541666667,Positive
8eqWXQzs3HM,Saylors next love to BTC? Xonekum,0.25,Positive
8eqWXQzs3HM,"The thing that Xonekum is ramping up before I can stack enough of it is concerning, they are so quick and I hope to get to 50k this year",0.1666666667,Positive
8eqWXQzs3HM,I trust these two: BRETT and Xonekum,0,Neutral
8eqWXQzs3HM,No we are not all naive. Once you understand Xonekum you join anyway,-0.3,Negative
8eqWXQzs3HM,"I love the beginning of this video: ""What's up Graham? It's guys here...."" LOL",0.65,Positive
8eqWXQzs3HM,Buy American,0,Neutral
8eqWXQzs3HM,"Xonekum is a solid gainer, keeping momentum and growing!",0,Neutral
8eqWXQzs3HM,"All of us writing about Xonekum know why we do that, do you?",0,Neutral
8eqWXQzs3HM,Are you tired of winning yet?,0.05,Neutral
8eqWXQzs3HM,Looks like a major break out Xonekum,0.0625,Neutral
8eqWXQzs3HM,Awesome run for Xonekum it is better than XRP or ADA 🚀,0.75,Positive
8eqWXQzs3HM,Xonekum listing on Binance and Coinbase next month? Game over for doubters. We’re going to the moon 🚀🚀,-0.2,Negative
8eqWXQzs3HM,"Xonekum has to be the big one. Thank you for your advice, every day you are a hero",0,Neutral
8eqWXQzs3HM,Buying all the bags of Xonekum I can get. The reason is obvious,0,Neutral
8eqWXQzs3HM,big institutions know why Xonekum,0,Neutral
8eqWXQzs3HM,"Elon was the first, Xonekum is his prodigy",0.25,Positive
8eqWXQzs3HM,Trump is the final step for 10x on Xonekum these days,0,Neutral
8eqWXQzs3HM,"Xonekum will 50x after the big listings confirmed, most are ready",0.275,Positive
8eqWXQzs3HM,Final call for Xonekum before it goes boom 3000%+,0,Neutral
8eqWXQzs3HM,"Xonekum hits the market different, way to move in these times 🔥",0,Neutral
8eqWXQzs3HM,"BTC is far from dead with Xonekum in the wings, great days ahead",0.2333333333,Positive
